filename;ocr_text;label;source_map
img20250920_20532456_0.jpg;ДЛЯ;;img20250920_20532456.tif
img20250920_20532456_1.jpg;CAYHEBH;;img20250920_20532456.tif
img20250920_20532456_2.jpg;68;;img20250920_20532456.tif
img20250920_20532456_3.jpg;72;;img20250920_20532456.tif
img20250920_20532456_4.jpg;76;;img20250920_20532456.tif
img20250920_20532456_5.jpg;80;;img20250920_20532456.tif
img20250920_20532456_6.jpg;84;;img20250920_20532456.tif
img20250920_20532456_7.jpg;63;;img20250920_20532456.tif
img20250920_20532456_8.jpg;ау;;img20250920_20532456.tif
img20250920_20532456_9.jpg;Садки;;img20250920_20532456.tif
img20250920_20532456_10.jpg;Ульянинки;;img20250920_20532456.tif
img20250920_20532456_11.jpg;Ильюшкина;;img20250920_20532456.tif
img20250920_20532456_12.jpg;аритоново®;;img20250920_20532456.tif
img20250920_20532456_13.jpg;Половиково;;img20250920_20532456.tif
img20250920_20532456_14.jpg;Pom;;img20250920_20532456.tif
img20250920_20532456_15.jpg;Кренев;;img20250920_20532456.tif
img20250920_20532456_16.jpg;Подтофкино;;img20250920_20532456.tif
img20250920_20532456_17.jpg;v4;;img20250920_20532456.tif
img20250920_20532456_18.jpg;Харитоново;;img20250920_20532456.tif
img20250920_20532456_19.jpg;Counom;;img20250920_20532456.tif
img20250920_20532456_20.jpg;ypqoo;;img20250920_20532456.tif
img20250920_20532456_21.jpg;Сафельников;;img20250920_20532456.tif
img20250920_20532456_22.jpg;40;;img20250920_20532456.tif
img20250920_20532456_23.jpg;eee;;img20250920_20532456.tif
img20250920_20532456_24.jpg;eS;;img20250920_20532456.tif
img20250920_20532456_25.jpg;Горы;;img20250920_20532456.tif
img20250920_20532456_26.jpg;км;;img20250920_20532456.tif
img20251126_13115718_27.jpg;cy;;img20251126_13115718.tif
img20251126_13115718_28.jpg;OF;;img20251126_13115718.tif
img20251126_13115718_29.jpg;Kpa;;img20251126_13115718.tif
img20251126_13115718_30.jpg;Э\_;;img20251126_13115718.tif
img20251126_13115718_31.jpg;if;;img20251126_13115718.tif
img20251126_13115718_32.jpg;Ny;;img20251126_13115718.tif
img20251126_13115718_33.jpg;Наволоки;;img20251126_13115718.tif
img20251126_13115718_34.jpg;"аум;";;img20251126_13115718.tif
img20251126_13115718_35.jpg;NS;;img20251126_13115718.tif
img20251126_13115718_36.jpg;Ермолино;;img20251126_13115718.tif
img20251126_13115718_37.jpg;Вичуга;;img20251126_13115718.tif
img20251126_13115718_38.jpg;Ермолино;;img20251126_13115718.tif
img20251126_13115718_39.jpg;Ленино;;img20251126_13115718.tif
img20251126_13115718_40.jpg;god;;img20251126_13115718.tif
img20251126_13115718_41.jpg;Миг;;img20251126_13115718.tif
img20251126_13115718_42.jpg;Hd,;;img20251126_13115718.tif
